INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
Baker College of Owosso,NULL,NULL,2835,2,17922,0.159,2,Owosso,MI
Baker College of Flint,NULL,NULL,5473,2,17794,0.1348,2,Flint,MI
Bay de Noc Community College,NULL,NULL,2252,1,11866,NULL,2,Escanaba,MI
Bayshire Academy of Beauty Craft Inc,NULL,NULL,56,3,NULL,NULL,1,Bay City,MI
Calvin College,1221,0.7546,3838,2,37559,0.7716,3,Grand Rapids,MI
Calvin Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Grand Rapids,MI
Carnegie Institute,NULL,NULL,279,3,17118,NULL,1,Troy,MI
Michigan School of Professional Psychology,NULL,NULL,NULL,2,NULL,NULL,4,Farmington Hills,MI
Central Michigan University,1050,0.6893,20848,1,20556,0.572,3,Mount Pleasant,MI
Mott Community College,NULL,NULL,8263,1,10355,NULL,2,Flint,MI
Empire Beauty School-Michigan,NULL,NULL,356,3,NULL,NULL,1,Grand Rapids,MI
Cleary University,1030,0.7586,470,2,22005,0.2299,3,Ann Arbor,MI
Concordia University-Ann Arbor,1010,0.8552,488,2,32310,0.5625,3,Ann Arbor,MI
Cranbrook Academy of Art,NULL,NULL,NULL,2,NULL,NULL,4,Bloomfield Hills,MI
College for Creative Studies,1030,0.4458,1349,2,45243,0.5729,3,Detroit,MI
Davenport University,NULL,0.9479,7860,2,25698,0.3507,3,Grand Rapids,MI
David Pressley School of Cosmetology,NULL,NULL,248,3,NULL,NULL,1,Royal Oak,MI
Delta College,NULL,NULL,8909,1,9284,NULL,2,University Center,MI
Detroit Business Institute-Downriver,NULL,NULL,86,3,NULL,NULL,1,Riverview,MI
Michigan State University College of Law,NULL,NULL,NULL,2,NULL,NULL,4,East Lansing,MI
Michigan Institute of Aviation and Technology,NULL,0.9687,764,3,18169,NULL,1,Canton,MI
University of Detroit Mercy,1142,0.6152,2808,2,45081,0.5708,3,Detroit,MI
Dorsey Business Schools-Madison Heights,NULL,NULL,234,3,28399,NULL,1,Madison Heights,MI
Dorsey Business Schools-Southgate,NULL,NULL,220,3,26882,NULL,1,Southgate,MI
Eastern Michigan University,992,0.5977,18383,1,18548,0.3719,3,Ypsilanti,MI
Ferris State University,1010,0.7094,12700,1,20909,0.4443,3,Big Rapids,MI
Flint Institute of Barbering Inc,NULL,0.7805,57,3,NULL,NULL,1,Flint,MI
Glen Oaks Community College,NULL,NULL,810,1,10001,NULL,2,Centreville,MI
Kettering University,1210,0.6203,1658,2,45315,0.5642,3,Flint,MI
Gogebic Community College,NULL,NULL,960,1,11742,NULL,2,Ironwood,MI
Grace Bible College,NULL,0.8204,424,2,19558,0.561,3,Wyoming,MI
Cornerstone University,1069,0.7134,2171,2,32714,0.4513,3,Grand Rapids,MI
Everest Institute-Grand Rapids,NULL,NULL,615,3,NULL,NULL,1,Grand Rapids,MI
Grand Rapids Community College,NULL,NULL,16679,1,7723,NULL,2,Grand Rapids,MI
Grand Valley State University,1091,0.8162,21227,1,20710,0.6566,3,Allendale,MI
Great Lakes Christian College,NULL,NULL,183,2,23673,0.3256,3,Lansing,MI
Henry Ford Community College,NULL,NULL,15990,1,9175,NULL,2,Dearborn,MI
Hope College,1184,0.8508,3251,2,37540,0.7738,3,Holland,MI
ITT Technical Institute-Wyoming,NULL,0.8592,411,3,26242,0.3551,2,Wyoming,MI
Jackson Community College,NULL,NULL,5805,1,10802,NULL,2,Jackson,MI
Wright Beauty Academy,NULL,NULL,106,3,NULL,NULL,1,Portage,MI
Kalamazoo College,1244,0.6901,1349,2,46732,0.8074,3,Kalamazoo,MI
Kalamazoo Valley Community College,NULL,NULL,10318,1,10277,NULL,2,Kalamazoo,MI
Kellogg Community College,NULL,NULL,5024,1,9099,NULL,2,Battle Creek,MI
Kirtland Community College,NULL,NULL,1647,1,8626,NULL,1,Roscommon,MI
Michigan College of Beauty-Monroe,NULL,NULL,115,3,NULL,NULL,1,Monroe,MI
Lake Michigan College,NULL,NULL,3549,1,11066,NULL,2,Benton Harbor,MI
Lake Superior State University,1050,0.8876,2424,1,18793,0.3811,3,Sault Ste Marie,MI
Lansing Community College,NULL,NULL,18734,1,10052,NULL,1,Lansing,MI
Lawrence Technological University,1125,0.5102,3065,2,36995,0.5197,3,Southfield,MI
M J Murphy Beauty College of Mount Pleasant,NULL,NULL,98,3,NULL,NULL,1,Mount Pleasant,MI
Macomb Community College,NULL,NULL,14056,1,10662,NULL,2,Warren,MI
Madonna University,NULL,0.7002,3041,2,21735,0.3941,3,Livonia,MI
Marygrove College,820,0.5301,950,2,26158,0.1548,3,Detroit,MI
Rochester College,998,0.8942,987,2,25462,0.3621,3,Rochester Hills,MI
University of Michigan-Ann Arbor,1346,0.3655,27797,1,25112,0.9068,3,Ann Arbor,MI
Michigan Barber School Inc,NULL,NULL,200,2,NULL,NULL,1,Detroit,MI
Michigan State University,1158,0.7056,36976,1,22946,0.7913,3,East Lansing,MI
Michigan Technological University,1209,0.7525,5532,1,25157,0.6612,3,Houghton,MI
University of Michigan-Dearborn,1105,0.6236,6983,1,14832,0.5177,3,Dearborn,MI
University of Michigan-Flint,1032,0.7381,6677,1,15262,0.3747,3,Flint,MI
Mid Michigan Community College,NULL,NULL,3309,1,8507,NULL,2,Harrison,MI
Monroe County Community College,NULL,NULL,2506,1,7823,NULL,2,Monroe,MI
Montcalm Community College,NULL,NULL,1669,1,11724,NULL,2,Sidney,MI
Mr Bela's School of Cosmetology Inc,NULL,NULL,113,3,NULL,NULL,1,Warren,MI
Baker College of Muskegon,NULL,NULL,4449,2,18382,0.1851,2,Muskegon,MI
Muskegon Community College,NULL,NULL,3100,1,7802,NULL,2,Muskegon,MI
Everest College-Skokie,NULL,NULL,479,3,NULL,NULL,1,Skokie,IL
Everest Institute-Southfield,NULL,NULL,853,3,NULL,NULL,1,Southfield,MI
North Central Michigan College,NULL,NULL,2379,1,5735,NULL,2,Petoskey,MI
Northern Michigan University,1010,0.6777,8199,1,17713,0.4405,3,Marquette,MI
Paul Mitchell the School-Escanaba,NULL,NULL,44,3,NULL,NULL,1,Escanaba,MI
Northwestern Michigan College,NULL,NULL,4398,1,12847,NULL,2,Traverse City,MI
Northwood University-Michigan,1046,0.6765,2994,2,31185,0.5609,3,Midland,MI
Oakland Community College,NULL,NULL,15754,1,9098,NULL,2,Bloomfield Hills,MI
Oakland University,1070,0.6214,15727,1,18393,0.4336,3,Rochester Hills,MI
Olivet College,970,0.5263,1046,2,30173,0.4256,3,Olivet,MI
Port Huron Cosmetology College,NULL,NULL,73,3,NULL,NULL,1,Waterford,MI
Kuyper College,1013,0.6318,309,2,25745,0.587,3,Grand Rapids,MI
Ross Medical Education Center-Lansing,NULL,NULL,113,3,NULL,NULL,1,Lansing,MI
Ross Medical Education Center-Madison Heights,NULL,NULL,222,3,NULL,NULL,1,Madison Heights,MI
Ross Medical Education Center-Flint,NULL,0.2827,284,3,NULL,NULL,1,Flint,MI
Sacred Heart Major Seminary,1090,1,151,2,30112,0,3,Detroit,MI
Saginaw Valley State University,990,0.851,8825,1,17401,0.3835,3,University Center,MI
Schoolcraft College,NULL,NULL,9802,1,8263,NULL,2,Livonia,MI
Siena Heights University,978,0.6282,2265,2,30346,0.4278,3,Adrian,MI
St Clair County Community College,NULL,NULL,3879,1,9729,NULL,2,Port Huron,MI
Southwestern Michigan College,NULL,NULL,2308,1,12612,NULL,2,Dowagiac,MI
Specs Howard School of Media Arts,NULL,NULL,555,3,NULL,NULL,1,Southfield,MI
Spring Arbor University,1072,0.7042,2965,2,31031,0.5273,3,Spring Arbor,MI
Michigan Career and Technical Institute,NULL,NULL,242,1,20625,NULL,1,Plainwell,MI
Finlandia University,NULL,0.7776,539,2,28790,0.4522,3,Hancock,MI
Thomas M. Cooley Law School,NULL,NULL,NULL,2,NULL,NULL,4,Lansing,MI
Twin City Beauty College,NULL,NULL,126,3,NULL,NULL,1,Saint Joseph,MI
Walsh College of Accountancy and Business Administration,NULL,NULL,987,2,NULL,NULL,3,Troy,MI
Washtenaw Community College,NULL,NULL,10711,1,10727,NULL,1,Ann Arbor,MI
Wayne County Community College District,NULL,NULL,14687,1,10168,NULL,2,Detroit,MI
Wayne State University,1030,0.8054,18531,1,19411,0.2813,3,Detroit,MI
West Shore Community College,NULL,NULL,1147,1,7545,NULL,2,Scottville,MI
Western Michigan University,1030,0.8333,19044,1,21932,0.5565,3,Kalamazoo,MI
Western Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Holland,MI
Wright Beauty Academy,NULL,NULL,62,3,NULL,NULL,1,Battle Creek,MI
Academy College,NULL,NULL,148,3,29381,0.3636,1,Minneapolis,MN
Alexandria Technical & Community College,NULL,NULL,1879,1,17642,NULL,1,Alexandria,MN
American Indian OIC Inc,NULL,NULL,199,2,NULL,NULL,1,Minneapolis,MN
Anoka Technical College,NULL,NULL,2064,1,20929,NULL,2,Anoka,MN
Anoka-Ramsey Community College,NULL,NULL,7101,1,18193,NULL,2,Coon Rapids,MN
Augsburg College,1090,0.5106,2746,2,40514,0.6025,3,Minneapolis,MN
Riverland Community College,NULL,NULL,2775,1,14208,NULL,1,Austin,MN
Northwest Technical College,NULL,NULL,893,1,14282,NULL,1,Bemidji,MN
Bemidji State University,1010,0.422,4377,1,17583,0.4589,3,Bemidji,MN
Bethany Lutheran College,1085,0.78,571,2,31803,0.5114,3,Mankato,MN
Bethel University,1146,0.7109,3357,2,41284,0.7091,3,Saint Paul,MN
Bethel Seminary-St. Paul,NULL,NULL,NULL,2,NULL,NULL,4,Saint Paul,MN
Central Lakes College-Brainerd,NULL,NULL,2741,1,14454,NULL,2,Brainerd,MN
Carleton College,1406,0.2555,2035,2,56340,0.9385,3,Northfield,MN
Concordia College at Moorhead,1125,0.7766,2521,2,39120,0.6824,3,Moorhead,MN
Concordia University-Saint Paul,NULL,NULL,1477,2,38323,0.4673,3,Saint Paul,MN
Dakota County Technical College,NULL,NULL,2806,1,18750,NULL,1,Rosemount,MN
Martin Luther College,1145,0.9731,720,2,20110,0.7317,3,New Ulm,MN
Lake Superior College,NULL,NULL,3978,1,17095,NULL,2,Duluth,MN
Cosmetology Careers Unlimited-Duluth,NULL,NULL,36,3,NULL,NULL,1,Duluth,MN
Duluth Business University,NULL,NULL,247,3,29411,0.4219,2,Dultuh,MN
Minnesota State Community and Technical College,NULL,NULL,5223,1,15000,NULL,2,Fergus Falls,MN
Globe University-Woodbury,NULL,NULL,983,3,28158,0.3043,2,Woodbury,MN
Minnesota West Community and Technical College,NULL,NULL,2310,1,14452,NULL,1,Granite Falls,MN
Gustavus Adolphus College,1264,0.6343,2515,2,46120,0.8304,3,Saint Peter,MN
Hamline University,1111,0.6999,2007,2,41695,0.6283,3,Saint Paul,MN
Hazelden Graduate School of Addiction Studies,NULL,NULL,1,2,NULL,NULL,1,Center City,MN
Hennepin Technical College,NULL,NULL,6073,1,18898,NULL,1,Brooklyn Park,MN
Cosmetology Careers Unlimited-Hibbing,NULL,NULL,30,3,NULL,NULL,1,Hibbing,MN
Hibbing Community College-A Technical and Community College,NULL,NULL,1218,1,13171,NULL,2,Hibbing,MN
Aveda Institute-Minneapolis,NULL,NULL,616,3,NULL,NULL,1,Minneapolis,MN
Inver Hills Community College,NULL,NULL,5123,1,19236,NULL,2,Inver Grove Heights,MN
Itasca Community College,NULL,NULL,1090,1,14194,NULL,2,Grand Rapids,MN
The Art Institutes International-Minnesota,NULL,0.9801,1437,3,30649,0.3917,3,Minneapolis,MN
Luther Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Saint Paul,MN
Macalester College,1355,0.3672,2047,2,53315,0.8982,3,Saint Paul,MN
South Central College,NULL,NULL,3451,1,15231,NULL,2,North Mankato,MN
Minnesota State University-Mankato,1030,0.6615,12546,1,16918,0.5243,3,Mankato,MN
Regency Beauty Institute-Blaine,NULL,NULL,148,3,NULL,NULL,1,Blaine,MN
Mayo Medical School,NULL,NULL,NULL,2,NULL,NULL,4,Rochester,MN
Mayo School of Health Sciences,NULL,NULL,125,2,NULL,NULL,1,Rochester,MN
Argosy University-Twin Cities,NULL,NULL,1196,3,22925,0.434,2,Eagan,MN
Mesabi Range Community and Technical College,NULL,NULL,998,1,11417,NULL,2,Virginia,MN
Metropolitan State University,NULL,1,7281,1,19546,0.3488,3,Saint Paul,MN
University of Minnesota-Twin Cities,1252,0.4951,30375,1,23304,0.7294,3,Minneapolis,MN
University of Minnesota-Crookston,1048,0.7262,1802,1,20717,0.4726,3,Crookston,MN
Minneapolis Business College,NULL,NULL,267,3,18056,NULL,2,Roseville,MN
Minneapolis College of Art and Design,1074,0.6126,613,2,41292,0.6115,3,Minneapolis,MN
Minneapolis Community and Technical College,NULL,NULL,9421,1,19329,NULL,2,Minneapolis,MN
Herzing University-Minneapolis,NULL,0.8222,346,3,21598,0.7576,1,Minneapolis,MN
Minnesota School of Cosmetology,NULL,NULL,194,3,NULL,NULL,1,WOODBURY,MN
Crossroads College,NULL,0.9355,141,2,26289,0.3913,3,Rochester,MN
University of Minnesota-Duluth,1109,0.7769,9452,1,22470,0.5357,3,Duluth,MN
University of Minnesota-Morris,1167,0.5985,1788,1,22328,0.6048,3,Morris,MN
Minnesota School of Business-Richfield,NULL,NULL,1070,3,32591,0.2826,2,Richfield,MN
Model College of Hair Design,NULL,NULL,131,3,NULL,NULL,1,Saint Cloud,MN
Minnesota State University Moorhead,1049,0.8364,6070,1,17198,0.4643,3,Moorhead,MN
North Hennepin Community College,NULL,NULL,6864,1,20151,NULL,2,Brooklyn Park,MN
National American University-Roseville,NULL,NULL,529,3,26046,0.4615,2,Roseville,MN
Brown College-Mendota Heights,NULL,NULL,427,3,23901,0.5327,3,Mendota Heights,MN
Normandale Community College,NULL,NULL,8324,1,17834,NULL,2,Bloomington,MN
North Central University,1037,0.9687,1124,2,26905,0.4741,3,Minneapolis,MN
Northland Community and Technical College,NULL,NULL,3081,1,12672,NULL,1,Thief River Falls,MN
Northwest Technical Institute,NULL,NULL,41,3,30126,NULL,2,Eagan,MN
Northwestern College,1107,0.5966,2164,2,36508,0.6727,3,Saint Paul,MN
Northwestern Health Sciences University,NULL,0.5556,112,2,20825,0.7143,3,Bloomington,MN
Oak Hills Christian College,930,0.6857,128,2,24975,0.3158,3,Bemidji,MN
Regency Beauty Institute-Burnsville,NULL,NULL,125,3,NULL,NULL,1,Burnsville,MN
Pine Technical College,NULL,NULL,790,1,16840,NULL,1,Pine City,MN
Rainy River Community College,NULL,NULL,253,1,11867,NULL,2,International Falls,MN
Rochester Community and Technical College,NULL,NULL,5463,1,18905,NULL,2,Rochester,MN
College of Saint Benedict,1177,0.7673,2070,2,45564,0.8103,3,Saint Joseph,MN
St. Cloud Technical and Community College,NULL,NULL,4326,1,12582,NULL,2,Saint Cloud,MN
Regency Beauty Institute-St. Cloud,NULL,NULL,93,3,NULL,NULL,1,Waite Park,MN
Saint Cloud State University,1011,0.8966,12276,1,17535,0.4969,3,Saint Cloud,MN
Saint Johns University,1152,0.748,1854,2,44250,0.7708,3,Collegeville,MN
Saint Mary's University of Minnesota,1028,0.7899,1935,2,37088,0.6154,3,Winona,MN
St Olaf College,1283,0.6038,3128,2,48850,0.8636,3,Northfield,MN
Crown College,1022,0.5621,1060,2,33830,0.5,3,Saint Bonifacius,MN
The College of Saint Scholastica,1091,0.7829,2815,2,40136,0.6471,3,Duluth,MN
University of St. Thomas,1166,0.8667,6211,2,46062,0.7442,3,Saint Paul,MN
College of Visual Arts,NULL,NULL,174,2,35341,0.425,3,Saint Paul,MN
Empire Beauty School-Bloomington,NULL,NULL,126,3,NULL,NULL,1,Bloomington,MN
St Catherine University,1106,0.5885,3567,2,42497,0.5501,3,Saint Paul,MN
Rasmussen College-Minnesota,NULL,0.8814,5099,3,25080,0.3595,2,St. Cloud,MN
Saint Paul College-A Community and Technical College,NULL,NULL,6159,1,17799,NULL,1,Saint Paul,MN
Southwest Minnesota State University,1008,0.7037,2516,1,18398,0.4112,3,Marshall,MN
Summit Academy Opportunities Industrialization Center,NULL,NULL,297,2,NULL,NULL,1,Minneapolis,MN
United Theological Seminary of the Twin Cities,NULL,NULL,NULL,2,NULL,NULL,4,New Brighton,MN
Vermilion Community College,NULL,NULL,572,1,14308,NULL,2,Ely,MN
Dunwoody College of Technology,NULL,0.6914,1128,2,29092,0.4108,2,Minneapolis,MN
Ridgewater College,NULL,NULL,3556,1,13576,NULL,1,Willmar,MN
Minnesota State College-Southeast Technical,NULL,NULL,2061,1,18847,NULL,1,Winona,MN
Winona State University,1070,0.6167,8215,1,20146,0.5341,3,Winona,MN
William Mitchell College of Law,NULL,NULL,NULL,2,NULL,NULL,4,Saint Paul,MN
Century College,NULL,NULL,9952,1,18043,NULL,2,White Bear Lake,MN
Alcorn State University,871,0.4712,3208,1,19311,0.3211,3,Alcorn State,MS
Belhaven University,1045,0.4599,2501,2,32335,0.4879,3,Jackson,MS
Blue Mountain College,NULL,NULL,494,2,15409,0.4324,3,Blue Mountain,MS
Chris Beauty College,NULL,NULL,96,3,NULL,NULL,1,Gulfport,MS
Coahoma Community College,NULL,NULL,2205,1,5954,NULL,2,Clarksdale,MS
Antonelli College-Jackson,NULL,NULL,523,3,23526,NULL,2,Jackson,MS
Copiah-Lincoln Community College,NULL,NULL,3146,1,8073,NULL,2,Wesson,MS
Creations College of Cosmetology,NULL,NULL,41,3,NULL,NULL,1,Tupelo,MS
Delta Beauty College,NULL,NULL,72,3,NULL,NULL,1,Greenville,MS
Delta State University,950,0.8922,2679,1,17213,0.3697,3,Cleveland,MS
East Central Community College,NULL,NULL,2340,1,9136,NULL,2,Decatur,MS
East Mississippi Community College,NULL,NULL,4698,1,8549,NULL,2,Scooba,MS
Fosters Cosmetology College,NULL,NULL,21,3,NULL,NULL,1,Ripley,MS
Academy of Hair Design One,NULL,NULL,42,3,NULL,NULL,1,Grenada,MS
Hinds Community College,NULL,NULL,10832,1,10767,NULL,2,Raymond,MS
Holmes Community College,NULL,NULL,6316,1,9908,NULL,2,Goodman,MS
Itawamba Community College,NULL,NULL,6002,1,12183,NULL,2,Fulton,MS
Jackson State University,890,0.2424,6675,1,18008,0.4511,3,Jackson,MS
Jones County Junior College,NULL,NULL,4259,1,9934,NULL,2,Ellisville,MS
Meridian Community College,NULL,NULL,4138,1,11025,NULL,2,Meridian,MS
Millsaps College,1164,0.5477,831,2,42509,0.7156,3,Jackson,MS
Mississippi Delta Community College,NULL,NULL,2786,1,7905,NULL,2,Moorhead,MS
University of Mississippi,1099,0.6105,15791,1,19852,0.5835,3,University,MS
University of Mississippi Medical Center,NULL,NULL,621,1,NULL,NULL,3,Jackson,MS
Mississippi University for Women,1010,0.4403,2319,1,15179,0.3672,3,Columbus,MS
Mississippi Valley State University,825,0.238,2016,1,17037,0.2235,3,Itta Bena,MS
Mississippi College,1069,0.5813,3029,2,24726,0.6219,3,Clinton,MS
Mississippi College of Beauty Culture,NULL,NULL,75,3,NULL,NULL,1,Laurel,MS
Mississippi Gulf Coast Community College,NULL,NULL,10092,1,11283,NULL,2,Perkinston,MS
Mississippi State University,1087,0.6215,16390,1,19975,0.5783,3,Mississippi State,MS
Northeast Mississippi Community College,NULL,NULL,3305,1,11080,NULL,2,Booneville,MS
Northwest Mississippi Community College,NULL,NULL,8220,1,8968,NULL,2,Senatobia,MS
Pearl River Community College,970,0.8391,5306,1,5109,NULL,2,Poplarville,MS
Rust College,735,0.3281,934,2,14508,0.3373,3,Holly Springs,MS
Southeastern Baptist College,NULL,NULL,52,2,6376,0.4,2,Laurel,MS
Southwest Mississippi Community College,NULL,NULL,1983,1,9632,NULL,2,Summit,MS
University of Southern Mississippi,1030,0.6453,13131,1,18161,0.4952,3,Hattiesburg,MS
Magnolia College of Cosmetology,NULL,NULL,149,3,NULL,NULL,1,Jackson,MS
Tougaloo College,845,0.3741,962,2,19958,0.5144,3,Tougaloo,MS
Wesley Biblical Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Jackson,MS
William Carey University,1043,0.2742,2230,2,23070,0.5769,3,Hattiesburg,MS
Anthem College-Maryland Heights,NULL,NULL,242,3,NULL,NULL,2,Maryland Heights,MO
Aquinas Institute of Theology,NULL,NULL,NULL,2,NULL,NULL,4,Saint Louis,MO
Assemblies of God Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Springfield,MO
Avila University,1067,0.5959,1268,2,34068,0.4275,3,Kansas City,MO
ITT Technical Institute-Earth City,NULL,0.5741,659,3,25427,0.2813,2,Earth City,MO
Baptist Bible College,NULL,NULL,321,2,15898,0.2987,3,Springfield,MO
House of Heavilin Beauty College-Blue Springs,NULL,NULL,99,3,NULL,NULL,1,Blue Springs,MO
Boonslick Technical Education Center,NULL,0.4717,25,1,NULL,NULL,1,Boonville,MO
Cox College,NULL,0.5019,787,2,25608,0.537,2,Springfield,MO
Calvary Bible College and Theological Seminary,1030,0.7255,246,2,17979,0.5455,3,Kansas City,MO
Cape Girardeau Career and Technology Center,NULL,NULL,266,1,NULL,NULL,1,Cape Girardeau,MO
Central Christian College of the Bible,NULL,0.4813,323,2,28910,0.3766,3,Moberly,MO
Central Bible College,1042,1,444,2,19348,0.6327,3,Springfield,MO
Central Methodist University-College of Liberal Arts & Sciences,1010,0.6674,1158,2,30860,0.4976,3,Fayette,MO
University of Central Missouri,970,0.8179,9045,1,17739,0.4877,3,Warrensburg,MO
Grand River Technical School,NULL,0.9487,97,1,NULL,NULL,1,Chillicothe,MO
Chillicothe Beauty Academy Inc,NULL,NULL,20,3,NULL,NULL,1,Chillicothe,MO
Cleveland Chiropractic College,NULL,1,79,2,37065,0.6667,3,Overland Park,KS
Columbia Area Career Center,NULL,0.3333,71,1,NULL,NULL,1,Columbia,MO
Columbia College,NULL,NULL,16411,2,16564,0.4269,3,Columbia,MO
Conception Seminary College,1070,0.9444,102,2,29686,0.5385,3,Conception,MO
Concordia Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Saint Louis,MO
Cottey College,1054,0.6612,290,2,24115,0.5731,2,Nevada,MO
Covenant Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Saint Louis,MO
Crowder College,NULL,NULL,4233,1,9835,NULL,2,Neosho,MO
Culver-Stockton College,965,0.6153,749,2,33494,0.4976,3,Canton,MO
DeVry University-Missouri,NULL,0.7227,1029,3,28572,0.2745,3,Kansas City,MO
Drury University,1162,0.867,4308,2,31421,0.5057,3,Springfield,MO
East Central College,NULL,NULL,3165,1,10430,NULL,2,Union,MO
Eden Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Webster Groves,MO
Elaine Steven Beauty College,NULL,NULL,219,3,NULL,NULL,1,Saint Louis,MO
Pinnacle Career Institute-South Kansas City,NULL,NULL,708,3,24793,NULL,2,Kansas City,MO
Evangel University,1021,0.6659,1862,2,30706,0.4578,3,Springfield,MO
Fontbonne University,1044,0.6291,1282,2,30971,0.3369,3,Saint Louis,MO
Forest Institute of Professional Psychology,NULL,NULL,NULL,2,NULL,NULL,4,Springfield,MO
Four Rivers Career Center,NULL,NULL,40,1,22795,NULL,1,Washington,MO
Ozarks Technical Community College,NULL,NULL,13496,1,10950,NULL,2,Springfield,MO
Hannibal-LaGrange University,1024,0.6836,943,2,26344,0.5194,3,Hannibal,MO
Harris-Stowe State University,NULL,NULL,1454,1,14681,0.0816,3,Saint Louis,MO
Hickey College,NULL,NULL,396,3,20690,0.8138,2,Saint Louis,MO
House of Heavilin Beauty College-Kansas City,NULL,NULL,38,3,NULL,NULL,1,Kansas City,MO
Independence College of Cosmetology,NULL,NULL,80,3,NULL,NULL,1,Independence,MO
Jefferson College,NULL,NULL,5253,1,10503,NULL,2,Hillsboro,MO
Cosmetology Concepts Institute,NULL,NULL,38,3,NULL,NULL,1,Columbia,MO
Barnes-Jewish College Goldfarb School of Nursing,NULL,NULL,631,2,NULL,NULL,3,Saint Louis,MO
Kansas City Art Institute,NULL,NULL,817,2,44882,0.5901,3,Kansas City,MO
Kenrick Glennon Seminary,NULL,1,40,2,NULL,NULL,3,Saint Louis,MO
A T Still University of Health Sciences,NULL,NULL,NULL,2,NULL,NULL,4,Kirksville,MO
Lake Career and Technical Center,NULL,NULL,15,1,5719,NULL,1,Camdenton,MO
Lex La-Ray Technical Center,NULL,NULL,35,1,NULL,NULL,1,Lexington,MO
Lincoln University,NULL,NULL,2394,1,14946,0.2727,3,Jefferson City,MO
Lindenwood University,1047,0.6576,7833,2,29936,0.4069,3,Saint Charles,MO
Linn State Technical College,NULL,NULL,1153,1,15235,NULL,2,Linn,MO
Logan University,NULL,NULL,93,2,NULL,NULL,3,Chesterfield,MO
Metropolitan Community College-Kansas City,NULL,NULL,17990,1,10669,NULL,2,Kansas City,MO
Lutheran School of Nursing,910,0.6667,178,3,15538,NULL,1,Saint Louis,MO
Maryville University of Saint Louis,1137,0.7127,2911,2,37106,0.7,3,Saint Louis,MO
Merrell University of Beauty Arts and Science,NULL,NULL,156,3,NULL,NULL,1,Jefferson City,MO
Metro Business College-Cape Girardeau,NULL,NULL,133,3,16147,NULL,1,Cape Girardeau,MO
Midwest Institute,NULL,NULL,183,3,NULL,NULL,1,Fenton,MO
Midwestern Baptist Theological Seminary,986,0.9,242,2,14881,0.4444,3,Kansas City,MO
Mineral Area College,NULL,NULL,3280,1,10936,NULL,2,Park Hills,MO
Westwood College-O'Hare Airport,NULL,0.5,477,3,31080,0.4146,3,Chicago,IL
Missouri Baptist University,989,0.5778,1708,2,32473,0.3871,3,Saint Louis,MO
National Academy of Beauty Arts-Farmington,NULL,NULL,103,3,NULL,NULL,1,Farmington,MO
Missouri College,NULL,NULL,502,3,17901,0.4553,1,Brentwood,MO
Missouri School of Barbering & Hairstyling-St. Louis,NULL,NULL,25,3,NULL,NULL,1,Florissant,MO
Missouri Southern State University,990,0.9619,4976,1,13280,0.3361,3,Joplin,MO
Missouri Tech,NULL,1,117,3,26340,0.6667,3,Saint Charles,MO
Missouri Valley College,907,0.5214,1378,2,28082,0.28,3,Marshall,MO
Missouri Western State University,NULL,NULL,5155,1,14766,0.3088,3,Saint Joseph,MO
University of Missouri-Columbia,1165,0.8146,26589,1,21874,0.7083,3,Columbia,MO
University of Missouri-Kansas City,1092,0.5174,8447,1,25652,0.4752,3,Kansas City,MO
Missouri University of Science and Technology,1281,0.8905,5752,1,21838,0.6523,3,Rolla,MO
University of Missouri-St Louis,1125,0.686,8981,1,24944,0.4664,3,Saint Louis,MO
Moberly Area Community College,NULL,NULL,4712,1,11936,NULL,2,Moberly,MO
Hillyard Technical Center,NULL,NULL,158,1,NULL,NULL,1,Saint Joseph,MO
National Academy of Beauty Arts-St Louis,NULL,NULL,186,3,NULL,NULL,1,Saint Louis,MO
Nazarene Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Kansas City,MO
Neosho Beauty College,NULL,NULL,46,3,NULL,NULL,1,Neosho,MO
Nichols Career Center,NULL,0.4,71,1,NULL,NULL,1,Jefferson City,MO
Northwest Technical School,NULL,NULL,20,1,NULL,NULL,1,Maryville,MO
Truman State University,1206,0.7368,5452,1,18998,0.7355,3,Kirksville,MO
Northwest Missouri State University,1050,0.7046,5648,1,16990,0.5209,3,Maryville,MO
Ozark Christian College,NULL,NULL,708,2,17890,0.4694,3,Joplin,MO
College of the Ozarks,1070,0.0948,1372,2,26065,0.6232,3,Point Lookout,MO
Park University,950,0.6928,10240,2,20131,0.4086,3,Parkville,MO
Stevens Institute of Business & Arts,NULL,NULL,171,3,23694,0.6364,3,Saint Louis,MO
Poplar Bluff Technical Career Center,NULL,NULL,58,1,NULL,NULL,1,Poplar Bluff,MO
