INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Cloud County Community College,NULL,NULL,1296,1,9748,NULL,1,Concordia,KS
Coffeyville Community College,NULL,NULL,1273,1,8831,NULL,2,Coffeyville,KS
Colby Community College,NULL,NULL,815,1,11426,NULL,2,Colby,KS
Cowley County Community College,NULL,NULL,3395,1,12715,NULL,2,Arkansas City,KS
Marinello Schools of Beauty-Manhattan,NULL,NULL,111,3,NULL,NULL,1,Manhattan,KS
Dodge City Community College,NULL,NULL,1161,1,11074,NULL,2,Dodge City,KS
Donnelly College,NULL,NULL,419,2,13682,0.3077,2,Kansas City,KS
Emporia State University,1030,0.6069,3724,1,15612,0.4054,3,Emporia,KS
Flint Hills Technical College,NULL,NULL,600,1,19991,NULL,1,Emporia,KS
Fort Hays State University,990,0.8917,11064,1,15395,0.4471,3,Hays,KS
Barclay College,954,0.5285,233,2,24990,0.5946,3,Haviland,KS
Friends University,977,0.5862,1568,2,33388,0.3165,3,Wichita,KS
Fort Scott Community College,NULL,NULL,1409,1,9778,NULL,1,Fort Scott,KS
Garden City Community College,NULL,NULL,1448,1,9135,NULL,2,Garden City,KS
Haskell Indian Nations University,NULL,NULL,741,1,8056,0.067,3,Lawrence,KS
Hays Academy of Hair Design,NULL,NULL,77,3,NULL,NULL,1,Hays,KS
Hesston College,NULL,NULL,440,2,34390,NULL,2,Hesston,KS
Highland Community College,NULL,NULL,1777,1,7535,NULL,1,Highland,KS
Hutchinson Community College,NULL,NULL,4064,1,11659,NULL,2,Hutchinson,KS
Independence Community College,NULL,NULL,678,1,9460,NULL,1,Independence,KS
Johnson County Community College,NULL,NULL,12361,1,10688,NULL,2,Overland Park,KS
Concorde Career Colleges,NULL,1,783,3,NULL,0.6103,1,Kansas City,MO
Kansas City Kansas Community College,NULL,NULL,5327,1,18419,NULL,2,Kansas City,KS
University of Kansas,1145,0.9228,18731,1,21971,0.6162,3,Lawrence,KS
Newman University,1079,0.4472,1276,2,33524,0.5188,3,Wichita,KS
Old Town Barber College-Wichita,NULL,NULL,40,3,NULL,NULL,1,Wichita,KS
Kansas State University,NULL,0.9591,19647,1,20140,0.5944,3,Manhattan,KS
Kansas Wesleyan University,1014,0.537,664,2,34402,0.4273,3,Salina,KS
Washburn Institute of Technology,NULL,0.7923,1161,1,16169,NULL,1,Topeka,KS
La Baron Hairdressing Academy-Overland Park,NULL,NULL,37,3,NULL,NULL,1,Overland Park,KS
Labette Community College,NULL,NULL,1374,1,9170,NULL,2,Parsons,KS
Manhattan Area Technical College,NULL,NULL,750,1,16279,NULL,2,Manhattan,KS
Manhattan Christian College,1020,0.5988,301,2,25439,0.3514,3,Manhattan,KS
McPherson College,1014,0.866,632,2,34534,0.4925,3,McPherson,KS
MidAmerica Nazarene University,950,0.7223,1390,2,32388,0.553,3,Olathe,KS
Neosho County Community College,NULL,NULL,1434,1,12587,NULL,1,Chanute,KS
North Central Kansas Technical College,NULL,NULL,504,1,14424,NULL,1,Beloit,KS
Northwest Kansas Technical College,NULL,NULL,391,1,NULL,NULL,1,Goodland,KS
Ottawa University-Ottawa,1020,0.9888,533,2,35017,0.3354,3,Ottawa,KS
Ottawa University-Kansas City,NULL,NULL,246,2,NULL,NULL,3,Overland Park,KS
Pittsburg State University,1010,0.7898,6005,1,15211,0.5015,3,Pittsburg,KS
Pratt Community College,NULL,NULL,928,1,10618,NULL,1,Pratt,KS
University of Saint Mary,988,0.4707,782,2,31515,0.5303,3,Leavenworth,KS
Salina Area Technical College,NULL,NULL,294,1,10457,NULL,1,Salina,KS
Seward County Community College and Area Technical School,NULL,NULL,1618,1,9236,NULL,2,Liberal,KS
Sidneys Hair Dressing College,NULL,NULL,48,3,NULL,NULL,1,Hutchinson,KS
Southwestern College,1036,0.8968,1332,2,36472,0.529,3,Winfield,KS
Sterling College,1015,0.4405,640,2,30722,0.4242,3,Sterling,KS
Tabor College,1017,0.735,706,2,35960,0.55,3,Hillsboro,KS
Washburn University,NULL,NULL,5320,1,16176,0.3661,3,Topeka,KS
Wichita Area Technical College,NULL,NULL,1690,1,12928,NULL,1,Wichita,KS
Wichita State University,1089,0.9576,11198,1,14764,0.4637,3,Wichita,KS
Wichita Technical Institute,NULL,NULL,967,3,NULL,NULL,1,Wichita,KS
Alice Lloyd College,990,0.4502,617,2,19450,0.3164,3,Pippa Passes,KY
Asbury University,1110,0.6573,1392,2,33966,0.6431,3,Wilmore,KY
Asbury Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Wilmore,KY
Ashland Community and Technical College,NULL,NULL,2525,1,11665,NULL,1,Ashland,KY
Barrett and Company School of Hair Design,NULL,NULL,93,3,NULL,NULL,1,Nicholasville,KY
Bellarmine University,1116,0.9478,2508,2,47609,0.6649,3,Louisville,KY
Berea College,1113,0.3401,1587,2,30396,0.6167,3,Berea,KY
PJ's College of Cosmetology-Bowling Green,NULL,NULL,372,3,NULL,NULL,1,Bowling Green,KY
Southcentral Kentucky Community and Technical College,NULL,NULL,3122,1,11295,NULL,1,Bowling Green,KY
Brescia University,1010,0.45,869,2,27219,0.2979,3,Owensboro,KY
Campbellsville University,985,0.6844,2213,2,31545,0.4377,3,Campbellsville,KY
Bluegrass Community and Technical College,NULL,NULL,10467,1,11544,NULL,1,Lexington,KY
Centre College,1268,0.6857,1372,2,46400,0.8196,3,Danville,KY
Clear Creek Baptist Bible College,NULL,NULL,136,2,13615,0.6154,3,Pineville,KY
Paul Mitchell the School-Lexington,NULL,NULL,278,3,NULL,NULL,1,Lexington,KY
Collins School of Cosmetology,NULL,NULL,29,3,NULL,NULL,1,Middlesboro,KY
Galen College of Nursing-Louisville,NULL,0.6696,847,3,NULL,NULL,1,Louisville,KY
University of the Cumberlands,1019,0.7127,1545,2,30993,0.4345,3,Williamsburg,KY
Eastern Kentucky University,1009,0.6002,13247,1,17801,0.3888,3,Richmond,KY
Elizabethtown Community and Technical College,NULL,NULL,5742,1,10803,NULL,1,Elizabethtown,KY
Frontier Nursing University,NULL,NULL,NULL,2,NULL,NULL,4,Hyden,KY
Georgetown College,1085,0.8219,1034,2,42036,0.5656,3,Georgetown,KY
PJ's College of Cosmetology-Glasgow,NULL,NULL,74,3,NULL,NULL,1,Glasgow,KY
Hazard Community and Technical College,NULL,NULL,2585,1,11591,NULL,1,Hazard,KY
Paul Mitchell the School-Louisville,NULL,NULL,247,3,NULL,NULL,1,Louisville,KY
Henderson Community College,NULL,NULL,1375,1,10789,NULL,1,Henderson,KY
Hopkinsville Community College,NULL,NULL,3191,1,11678,NULL,1,Hopkinsville,KY
Daymar College-Paducah Main,NULL,NULL,86,3,28820,0.3182,2,Paducah,KY
Jefferson Community and Technical College,NULL,NULL,11632,1,11113,NULL,1,Louisville,KY
Jenny Lea Academy of Cosmetology,NULL,NULL,26,3,NULL,NULL,1,Harlan,KY
The Salon Professional Academy-Lexington,NULL,NULL,132,3,NULL,NULL,1,Lexington,KY
National College-Lexington,NULL,NULL,1275,3,24722,0.3585,2,Lexington,KY
Kentucky Mountain Bible College,930,0.5075,73,2,15618,0.7778,3,Vancleve,KY
Kentucky State University,860,0.3774,2131,1,18387,0.1797,3,Frankfort,KY
Kentucky Wesleyan College,1019,0.671,652,2,29725,0.3786,3,Owensboro,KY
University of Kentucky,1140,0.6861,21050,1,22420,0.6184,3,Lexington,KY
Kentucky Christian University,976,0.5136,547,2,29246,0.3865,3,Grayson,KY
Lexington Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Lexington,KY
Lindsey Wilson College,NULL,NULL,2127,2,33342,0.2983,3,Columbia,KY
Sullivan College of Technology and Design,NULL,0.8305,368,3,36357,0.5294,2,Louisville,KY
University of Louisville,1142,0.7112,15023,1,21922,0.5343,3,Louisville,KY
Louisville Presbyterian Theological Seminary,NULL,NULL,NULL,2,NULL,NULL,4,Louisville,KY
Madisonville Community College,NULL,NULL,2625,1,10669,NULL,1,Madisonville,KY
Maysville Community and Technical College,NULL,NULL,2821,1,11940,NULL,1,Maysville,KY
Mid-Continent University,923,0.7031,2142,2,29971,0.2538,3,Mayfield,KY
Midway College,1032,0.5381,1247,2,33132,0.5246,3,Midway,KY
Morehead State University,1028,0.8449,7344,1,17805,0.4035,3,Morehead,KY
Murray State University,1029,0.8217,7956,1,16397,0.5291,3,Murray,KY
Gateway Community and Technical College,NULL,NULL,3810,1,11335,NULL,1,Florence,KY
Northern Kentucky University,1024,0.467,11976,1,14603,0.3792,3,Highland Heights,KY
Nutek Academy of Beauty Inc,NULL,NULL,18,3,NULL,NULL,1,Mount Sterling,KY
Daymar College-Owensboro,NULL,NULL,122,3,28943,0.375,2,Owensboro,KY
West Kentucky Community and Technical College,NULL,NULL,4648,1,10661,NULL,1,Paducah,KY
Pat Wilson's Beauty College,NULL,NULL,73,3,NULL,NULL,1,Henderson,KY
University of Pikeville,909,1,1313,2,31005,0.309,3,Pikeville,KY
Big Sandy Community and Technical College,NULL,NULL,3283,1,11404,NULL,1,Prestonsburg,KY
Brown Mackie College-Louisville,NULL,NULL,1420,3,23759,0.269,2,Louisville,KY
Empire Beauty School-Chenoweth,NULL,NULL,107,3,NULL,NULL,1,Louisville,KY
Saint Catharine College,NULL,NULL,605,2,30957,0.1761,2,Saint Catharine,KY
Empire Beauty School-Elizabethtown,NULL,NULL,168,3,NULL,NULL,1,Elizabethtown,KY
Empire Beauty School-Dixie,NULL,NULL,123,3,NULL,NULL,1,Louisville,KY
Empire Beauty School-Florence,NULL,NULL,165,3,NULL,NULL,1,Florence,KY
Brown Mackie College-Northern Kentucky,NULL,NULL,443,3,22799,0.3023,2,Fort Mitchell,KY
Somerset Community College,NULL,NULL,6037,1,11298,NULL,1,Somerset,KY
Southeast Kentucky Community and Technical College,NULL,NULL,2582,1,11439,NULL,1,Cumberland,KY
Spalding University,952,0.8108,1277,2,31021,0.4019,3,Louisville,KY
Spencerian College-Louisville,NULL,NULL,528,3,29666,NULL,1,Louisville,KY
Sullivan University,NULL,NULL,3404,3,29648,0.481,2,Louisville,KY
Thomas More College,1033,0.8775,1208,2,36843,0.5703,3,Crestview Hills,KY
Transylvania University,1213,0.9615,1081,2,41374,0.7224,3,Lexington,KY
Trend Setters' Academy of Beauty Culture-Louisville,NULL,NULL,95,3,NULL,NULL,1,Louisville,KY
Union College,1007,0.7416,808,2,31769,0.3418,3,Barbourville,KY
Western Kentucky University,1009,0.9232,15780,1,16538,0.4368,3,Bowling Green,KY
Central Louisiana Technical Community College,NULL,NULL,1439,1,12082,NULL,1,Alexandria,LA
American School of Business,NULL,NULL,85,3,NULL,NULL,1,Shreveport,LA
Ayers Career College,NULL,NULL,267,3,NULL,NULL,1,Shreveport,LA
Baton Rouge General Medical Center-School of Nursing,NULL,NULL,56,2,NULL,NULL,1,Baton Rouge,LA
Baton Rouge General Medical Center-Radiologic Technology,NULL,NULL,22,2,NULL,NULL,0,Baton Rouge,LA
Baton Rouge School of Computers,NULL,NULL,80,3,NULL,NULL,2,Baton Rouge,LA
Capital Area Technical College,NULL,NULL,1610,1,11931,NULL,1,Baton Rouge,LA
Bossier Parish Community College,NULL,NULL,7222,1,12889,NULL,2,Bossier City,LA
Cameron College,NULL,NULL,23,3,NULL,NULL,1,New Orleans,LA
Centenary College of Louisiana,1131,0.6597,579,2,40578,0.59,3,Shreveport,LA
Cloyd's Beauty School 1 Inc,NULL,NULL,51,3,NULL,NULL,1,West Monroe,LA
Crescent City Bartending School,NULL,NULL,469,3,NULL,NULL,1,New Orleans,LA
D'Jay's School of Beauty Arts and Sciences,NULL,NULL,63,3,NULL,NULL,1,Baton Rouge,LA
Delgado Community College,NULL,NULL,17467,1,12335,NULL,1,New Orleans,LA
Delta School of Business and Technology,NULL,NULL,199,3,23274,NULL,2,Lake Charles,LA
Demmons School of Beauty,NULL,NULL,58,3,NULL,NULL,1,Lake Charles,LA
Denham Springs Beauty School,NULL,NULL,91,3,NULL,NULL,1,Denham Springs,LA
Dillard University,884,0.3544,1183,2,25343,0.4566,3,New Orleans,LA
Nunez Community College,NULL,NULL,1675,1,12684,NULL,1,Chalmette,LA
Grambling State University,863,0.4363,4100,1,20881,0.3167,3,Grambling,LA
Guy's Shreveport Academy of Cosmetology Inc,NULL,NULL,62,3,NULL,NULL,1,Shreveport,LA
ITI Technical College,NULL,NULL,569,3,21899,NULL,2,Baton Rouge,LA
John Jay Beauty College,NULL,NULL,36,3,NULL,NULL,1,New Orleans,LA
John Jay Beauty College,NULL,NULL,76,3,NULL,NULL,1,Kenner,LA
Louisiana State University Health Sciences Center-New Orleans,NULL,NULL,915,1,NULL,NULL,3,New Orleans,LA
Louisiana State University-Alexandria,950,0.6074,1984,1,14276,0.138,3,Alexandria,LA
Louisiana State University and Agricultural & Mechanical College,1162,0.7623,23990,1,20422,0.6914,3,Baton Rouge,LA
Louisiana State University-Eunice,NULL,NULL,2424,1,11914,NULL,2,Eunice,LA
Louisiana State University-Shreveport,1030,0.8349,2796,1,15066,0.3255,3,Shreveport,LA
Acadiana Technical College-Lafayette Campus,NULL,NULL,1713,1,12832,NULL,1,Lafayette,LA
Aveda Institute-Baton Rouge,NULL,NULL,226,3,NULL,NULL,1,Baton Rouge,LA
Aveda Institute-Lafayette,NULL,NULL,116,3,NULL,NULL,1,Lafayette,LA
Louisiana Academy of Beauty,NULL,NULL,42,3,NULL,NULL,1,Eunice,LA
Louisiana College,968,0.7423,1081,2,22940,0.4251,3,Pineville,LA
Opelousas School of Cosmetology Inc,NULL,NULL,14,3,NULL,NULL,1,Opelousas,LA
Louisiana Tech University,1089,0.6744,7047,1,16983,0.4934,3,Ruston,LA
Loyola University New Orleans,1143,0.8707,2910,2,46676,0.5486,3,New Orleans,LA
McNeese State University,1030,0.6151,6777,1,14823,0.3817,3,Lake Charles,LA
University of New Orleans,1072,0.5036,6854,1,16212,0.3214,3,New Orleans,LA
Nicholls State University,1030,0.8694,5682,1,16071,0.4126,3,Thibodaux,LA
University of Louisiana at Monroe,1050,0.7724,5863,1,14925,0.4017,3,Monroe,LA
Northwest Louisiana Technical College,NULL,NULL,1495,1,12524,NULL,1,Minden,LA
Notre Dame Seminary Graduate School of Theology,NULL,NULL,NULL,2,NULL,NULL,4,New Orleans,LA
Northwestern State University of Louisiana,1007,0.84,7026,1,16605,0.3739,3,Natchitoches,LA
Our Lady of Holy Cross College,NULL,0.4847,842,2,17887,0.2805,3,New Orleans,LA
Our Lady of the Lake College,1010,0.6615,1483,2,21335,0.3594,2,Baton Rouge,LA
Pat Goins Benton Road Beauty School,NULL,NULL,25,3,NULL,NULL,1,Bossier City,LA
Pat Goins Monroe Beauty School,NULL,NULL,28,3,NULL,NULL,1,Monroe,LA
Pat Goins Ruston Beauty School,NULL,NULL,28,3,NULL,NULL,1,Ruston,LA
Pineville Beauty School,NULL,NULL,75,3,NULL,NULL,1,Pineville,LA
Aveda Institute-Covington,NULL,NULL,1707,3,NULL,NULL,1,Covington,LA
Saint Joseph Seminary College,NULL,NULL,133,2,30965,0.75,3,St. Benedict,LA
Vanguard College of Cosmetology-Slidell,NULL,NULL,107,3,NULL,NULL,1,Slidell,LA
South Louisiana Beauty College,NULL,NULL,41,3,NULL,NULL,1,Houma,LA
L E Fletcher Technical Community College,NULL,NULL,1776,1,13510,NULL,1,Schriever,LA
Remington College-Lafayette Campus,NULL,0.9192,326,2,26145,NULL,1,Lafayette,LA
SOWELA Technical Community College,NULL,NULL,2609,1,12978,NULL,1,Lake Charles,LA
Stevensons Academy of Hair Design,NULL,NULL,116,3,NULL,NULL,1,New Orleans,LA
Southeastern Louisiana University,1030,0.448,11704,1,15729,0.3582,3,Hammond,LA
Southern University and A & M College,890,0.359,5666,1,17928,0.3183,3,Baton Rouge,LA
Southern University at New Orleans,808,0.4888,1782,1,10889,0.1119,3,New Orleans,LA
Southern University at Shreveport,NULL,NULL,2784,1,13623,NULL,2,Shreveport,LA
University of Louisiana at Lafayette,1070,0.593,14261,1,15342,0.4482,3,Lafayette,LA
Northshore Technical Community College,NULL,NULL,1705,1,12007,NULL,1,Bogalusa,LA
Tulane University of Louisiana,1341,0.2643,8290,2,58904,0.7602,3,New Orleans,LA
Xavier University of Louisiana,1048,0.5443,2459,2,27550,0.4804,3,New Orleans,LA
South Central Louisiana Technical College-Young Memorial Campus,NULL,NULL,1460,1,12645,NULL,1,Morgan City,LA
Kaplan University-Maine Campus,NULL,NULL,977,3,21396,0.1809,2,S Portland,ME
College of the Atlantic,NULL,0.7367,356,2,48639,0.6905,3,Bar Harbor,ME
Bates College,NULL,0.2417,1791,2,59285,0.9299,3,Lewiston,ME
Beal College,NULL,NULL,461,3,NULL,NULL,2,Bangor,ME
Bowdoin College,1423,0.1495,1789,2,58200,0.9326,3,Brunswick,ME
Central Maine Medical Center College of Nursing and Health Professions,1010,0.4545,178,2,15526,NULL,2,Lewiston,ME
Central Maine Community College,NULL,NULL,2531,1,12756,NULL,2,Auburn,ME
Colby College,1343,0.2604,1820,2,57300,0.9251,3,Waterville,ME
Eastern Maine Community College,NULL,0.6639,2046,1,13030,NULL,2,Bangor,ME
Husson University,962,0.7989,2290,2,25019,0.4654,3,Bangor,ME
Kennebec Valley Community College,NULL,NULL,1627,1,14210,NULL,2,Fairfield,ME
The Landing School,NULL,NULL,83,2,36025,NULL,1,Arundel,ME
University of Maine at Augusta,NULL,NULL,4306,1,13927,0.137,3,Augusta,ME
University of Maine at Farmington,NULL,0.837,1858,1,20415,0.5511,3,Farmington,ME
University of Maine at Fort Kent,908,0.6293,913,1,17314,0.4273,3,Fort Kent,ME
University of Maine at Machias,937,0.854,596,1,17380,0.3091,3,Machias,ME
University of Maine,1085,0.8106,8619,1,22461,0.5556,3,Orono,ME
Maine Maritime Academy,1026,0.6536,994,1,23673,0.752,3,Castine,ME
University of Maine at Presque Isle,NULL,NULL,924,1,16492,0.3077,3,Presque Isle,ME
University of New England,1057,0.8584,2179,2,47931,0.5966,3,Biddeford,ME
Northern Maine Community College,NULL,0.681,765,1,15685,NULL,2,Presque Isle,ME
Empire Beauty School-Maine,NULL,NULL,314,3,NULL,NULL,1,Portland,ME
Maine College of Art,NULL,0.9625,375,2,43313,0.45,3,Portland,ME
Saint Joseph's College of Maine,960,0.7778,1276,2,43119,0.5543,3,Standish,ME
Spa Tech Institute-Westbrook,NULL,NULL,245,3,NULL,NULL,1,Westbrook,ME
Southern Maine Community College,NULL,NULL,5958,1,15054,NULL,2,South Portland,ME
University of Southern Maine,1003,0.828,6079,1,22290,0.3356,3,Portland,ME
Thomas College,895,0.7244,846,2,33792,0.4298,3,Waterville,ME
Unity College,NULL,0.8882,553,2,34137,0.5141,3,Unity,ME
Washington County Community College,NULL,NULL,330,1,11173,NULL,1,Calais,ME
Aaron's Academy of Beauty,NULL,NULL,39,3,NULL,NULL,1,Waldorf,MD
Aesthetics Institute of Cosmetology,NULL,NULL,40,3,NULL,NULL,1,Gaithersburg,MD
Allegany College of Maryland,NULL,NULL,2677,1,13997,NULL,2,Cumberland,MD
Anne Arundel Community College,NULL,NULL,14125,1,16950,NULL,2,Arnold,MD
TESST College of Technology-Towson,NULL,NULL,360,3,NULL,NULL,1,Towson,MD
Award Beauty School,NULL,NULL,170,3,NULL,NULL,1,Hagerstown,MD
Baltimore Studio of Hair Design,NULL,NULL,72,3,NULL,NULL,1,Baltimore,MD
Baltimore City Community College,NULL,NULL,4986,1,12348,NULL,2,Baltimore,MD
University of Baltimore,940,0.7295,3479,1,24835,0.3759,3,Baltimore,MD
Bowie State University,886,0.5176,4313,1,18581,0.3524,3,Bowie,MD
Capitol College,1042,0.5903,430,2,30826,0.4286,3,Laurel,MD
Cecil College,NULL,NULL,2426,1,9816,NULL,2,North East,MD
College of Southern Maryland,NULL,NULL,8358,1,12644,NULL,2,La Plata,MD
Chesapeake College,NULL,NULL,2184,1,13112,NULL,2,Wye Mills,MD
Washington Adventist University,NULL,0.3271,951,2,27990,0.3651,3,Takoma Park,MD
Coppin State University,880,0.355,2880,1,16147,0.1387,3,Baltimore,MD
Delmarva Beauty Academy,NULL,NULL,67,3,NULL,NULL,1,Salisbury,MD
North American Trade Schools,NULL,NULL,545,3,NULL,NULL,1,Baltimore,MD
Frederick Community College,NULL,NULL,5375,1,9205,NULL,2,Frederick,MD
Frostburg State University,963,0.5945,4575,1,19454,0.4655,3,Frostburg,MD
Garrett College,NULL,NULL,586,1,11372,NULL,2,McHenry,MD
Goucher College,NULL,0.7173,1444,2,50840,0.6792,3,Baltimore,MD
Kaplan University-Hagerstown Campus,NULL,NULL,845,3,26958,0.3296,2,Hagerstown,MD
Hagerstown Community College,NULL,NULL,3997,1,9809,NULL,2,Hagerstown,MD
Harford Community College,NULL,NULL,6016,1,7963,NULL,2,Bel Air,MD
Hood College,1030,0.8102,1347,2,45230,0.6644,3,Frederick,MD
Howard Community College,NULL,NULL,9287,1,12617,NULL,2,Columbia,MD
The Colorlab Academy of Hair,NULL,NULL,55,3,NULL,NULL,1,Bel Air,MD
Johns Hopkins University,1418,0.1813,5932,2,58980,0.9254,3,Baltimore,MD
L'Academie de Cuisine,NULL,0.8421,46,3,NULL,NULL,1,Gaithersburg,MD
Lincoln College of Technology-Columbia,NULL,NULL,693,3,NULL,NULL,1,Columbia,MD
Loyola University Maryland,1194,0.58,3972,2,56736,0.8437,3,Baltimore,MD
Maryland Beauty Academy of Reisterstown,NULL,NULL,30,3,NULL,NULL,1,Reisterstown,MD
University of Maryland-University College,NULL,NULL,26006,1,13222,0.0278,3,Adelphi,MD
University of Maryland-Baltimore,NULL,NULL,738,1,NULL,NULL,3,Baltimore,MD
University of Maryland-Baltimore County,1209,0.6315,11012,1,22024,0.6458,3,Baltimore,MD
University of Maryland-College Park,1310,0.4699,26045,1,22933,0.8406,3,College Park,MD
Maryland Institute College of Art,1175,0.5803,1892,2,52649,0.7273,3,Baltimore,MD
University of Maryland Eastern Shore,871,0.5502,3421,1,20587,0.3246,3,Princess Anne,MD
Fortis Institute-Towson,NULL,NULL,748,3,NULL,NULL,1,Towson,MD
Montgomery Beauty School,NULL,NULL,134,3,NULL,NULL,1,Silver Spring,MD
Montgomery College,NULL,NULL,19064,1,12291,NULL,2,Rockville,MD
Morgan State University,893,0.5757,6197,1,20108,0.3375,3,Baltimore,MD
Mount St Mary's University,1060,0.6741,1729,2,45896,0.6563,3,Emmitsburg,MD
Ner Israel Rabbinical College,NULL,0.8154,340,2,20300,0.3061,3,Baltimore,MD
Hair Academy Inc-New Carrollton,NULL,NULL,374,3,NULL,NULL,1,New Carrollton,MD
Notre Dame of Maryland University,1036,0.4964,1220,2,41871,0.5283,3,Baltimore,MD
Prince George's Community College,NULL,NULL,12956,1,9936,NULL,2,Largo,MD
TESST College of Technology-Baltimore,NULL,NULL,661,3,NULL,NULL,1,Baltimore,MD
Robert Paul Academy of Cosmetology Arts & Sciences,NULL,NULL,29,3,NULL,NULL,1,Timonium,MD
Maryland Beauty Academy of Essex,NULL,NULL,101,3,NULL,NULL,1,Baltimore,MD
Salisbury University,1145,0.5494,7767,1,20916,0.6681,3,Salisbury,MD
St Mary's College of Maryland,1221,0.7204,1794,1,29174,0.7931,3,St. Mary's City,MD
Sojourner-Douglass College,NULL,NULL,1037,2,26170,0.1967,3,Baltimore,MD
St John's College,NULL,0.8099,443,2,56867,0.6338,3,Annapolis,MD
TESST College of Technology-Beltsville,NULL,NULL,462,3,NULL,NULL,1,Beltsville,MD
Towson University,1078,0.6034,18534,1,21596,0.655,3,Towson,MD
Maryland University of Integrative Health,NULL,NULL,NULL,2,NULL,NULL,4,Laurel,MD
International Beauty School,NULL,NULL,193,3,NULL,NULL,1,Cumberland,MD
Stevenson University,990,0.5959,3923,2,38785,0.5613,3,Stevenson,MD
Washington College,1168,0.6655,1424,2,52243,0.6821,3,Chestertown,MD
McDaniel College,1105,0.7587,1662,2,45866,0.7175,3,Westminster,MD
Wor-Wic Community College,NULL,NULL,3090,1,13127,NULL,2,Salisbury,MD
Hult International Business School,NULL,NULL,NULL,2,NULL,NULL,4,Cambridge,MA
New England College of Business and Finance,NULL,NULL,918,3,14275,1,3,Boston,MA
American International College,885,0.6779,1513,2,40803,0.4487,3,Springfield,MA
Amherst College,1434,0.1428,1785,2,59060,0.9578,3,Amherst,MA
Andover Newton Theological School,NULL,NULL,NULL,2,NULL,NULL,4,Newton Centre,MA
Anna Maria College,NULL,0.7756,1135,2,42770,0.469,3,Paxton,MA
Assabet Valley Regional Technical School,NULL,0.5098,46,1,NULL,NULL,1,Marlborough,MA
Assumption College,NULL,0.7422,2181,2,46763,0.7273,3,Worcester,MA
Babson College,1258,0.2821,2106,2,58450,0.9073,3,Wellesley,MA
Bancroft School of Massage Therapy,NULL,NULL,66,3,NULL,NULL,1,Worcester,MA
Boston Baptist College,895,0.8065,83,2,31101,0.3182,3,Boston,MA
Bay Path College,964,0.576,1454,2,40447,0.555,3,Longmeadow,MA
Bay State College,NULL,0.5845,1196,3,32975,0.2716,2,Boston,MA
Bay State School of Technology,NULL,NULL,200,3,NULL,NULL,1,Canton,MA
Becker College,1006,0.6255,1871,2,44041,0.3069,3,Worcester,MA
Bentley University,1234,0.4379,4172,2,54806,0.8727,3,Waltham,MA
Berklee College of Music,NULL,0.3617,4402,2,56335,0.4963,3,Boston,MA
Berkshire Community College,NULL,NULL,2024,1,13345,NULL,2,Pittsfield,MA
Empire Beauty School-Boston,NULL,NULL,241,3,NULL,NULL,1,Boston,MA
Boston Architectural College,NULL,NULL,423,2,36082,0.0658,3,Boston,MA
Boston Graduate School of Psychoanalysis Inc,NULL,NULL,NULL,2,NULL,NULL,4,Brookline,MA
Boston College,1375,0.3222,9465,2,58639,0.913,3,Chestnut Hill,MA
The Boston Conservatory,NULL,0.3645,545,2,59631,0.6716,3,Boston,MA
Boston University,1279,0.4561,16460,2,59036,0.8448,3,Boston,MA
Brandeis University,1347,0.3704,3603,2,58850,0.8959,3,Waltham,MA
Bridgewater State University,991,0.786,9489,1,19303,0.5751,3,Bridgewater,MA
Bristol Community College,NULL,NULL,8250,1,9237,NULL,2,Fall River,MA
Signature Healthcare Brockton Hospital School of Nursing,956,0.3953,323,2,NULL,NULL,1,Brockton,MA
Bunker Hill Community College,NULL,NULL,12535,1,12219,NULL,2,Boston,MA
Cambridge College,NULL,NULL,1042,2,26815,0.0245,3,Cambridge,MA
Cape Cod Community College,NULL,NULL,3459,1,13268,NULL,2,West Barnstable,MA
Catherine Hinds Institute of Esthetics,NULL,NULL,171,3,NULL,NULL,1,Woburn,MA
Laboure College,NULL,0.873,680,2,33880,0.1429,2,Milton,MA
Clark University,NULL,0.6154,2312,2,47248,0.8094,3,Worcester,MA
Conway School of Landscape Design,NULL,NULL,NULL,2,NULL,NULL,4,Conway,MA
Curry College,931,0.6692,2794,2,47519,0.4502,3,Milton,MA
Lincoln Technical Institute-Somerville,NULL,NULL,331,3,NULL,NULL,1,Somerville,MA
Dean College,845,0.6835,1238,2,46673,0.4315,2,Franklin,MA
Diman Regional Technical Institute,NULL,0.3433,80,1,NULL,NULL,1,Fall River,MA
National Aviation Academy of New England,NULL,NULL,247,3,NULL,NULL,1,Bedford,MA
Eastern Nazarene College,954,0.5579,1313,2,36567,0.5,3,Quincy,MA
Emerson College,1240,0.4798,3720,2,51158,0.8147,3,Boston,MA
Emmanuel College,1090,0.6049,2040,2,49487,0.5808,3,Boston,MA
Endicott College,1070,0.7165,2621,2,44177,0.7129,3,Beverly,MA
Episcopal Divinity School,NULL,NULL,NULL,2,NULL,NULL,4,Cambridge,MA
Rob Roy Academy-Fall River,NULL,NULL,105,3,NULL,NULL,1,Fall River,MA
Fisher College,825,0.6273,1733,2,41383,0.3891,2,Boston,MA
