INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Carrington College-Phoenix,NULL,1,676,3,NULL,0.6443,1,Phoenix,AZ
Carrington College-Mesa,NULL,1,691,3,NULL,NULL,1,Mesa,AZ
Carrington College-Tucson,NULL,1,440,3,NULL,NULL,1,Tucson,AZ
College America-Flagstaff,NULL,NULL,209,2,26842,0.4667,2,Flagstaff,AZ
Arizona Academy of Beauty-East,NULL,NULL,47,3,NULL,NULL,1,Tucson,AZ
Arizona Automotive Institute,NULL,NULL,505,3,NULL,NULL,1,Glendale,AZ
Brookline College-Phoenix,NULL,NULL,828,3,NULL,0.4664,1,Phoenix,AZ
Arizona State University-Tempe,1145,0.8023,38480,1,21960,0.5947,3,Tempe,AZ
Arizona Western College,NULL,NULL,7442,1,14337,NULL,1,Yuma,AZ
University of Arizona,1106,0.7692,31399,1,23905,0.6139,3,Tucson,AZ
Southwest University of Visual Arts-Tucson,NULL,NULL,216,3,49519,0.8333,3,Tucson,AZ
Brillare Hairdressing Academy,NULL,NULL,226,3,NULL,NULL,1,Scottsdale,AZ
Central Arizona College,NULL,NULL,5462,1,9205,NULL,2,Coolidge,AZ
Brown Mackie College-Tucson,NULL,NULL,684,3,24344,0.1622,2,Tucson,AZ
Charles of Italy Beauty College,NULL,NULL,83,3,NULL,NULL,1,Lake Havasu City,AZ
Cochise College,NULL,NULL,3787,1,9792,NULL,2,Douglas,AZ
Empire Beauty School-Flagstaff,NULL,NULL,53,3,NULL,NULL,1,Flagstaff,AZ
Empire Beauty School-Chandler,NULL,NULL,113,3,NULL,NULL,1,Chandler,AZ
Cortiva Institute-Tucson,NULL,NULL,143,3,NULL,NULL,1,Tucson,AZ
Avalon School of Cosmetology-Mesa,NULL,NULL,273,3,NULL,NULL,1,Mesa,AZ
Eastern Arizona College,NULL,NULL,4812,1,11649,NULL,1,Thatcher,AZ
Embry-Riddle Aeronautical University-Prescott,1171,0.7898,1802,2,45228,0.5915,3,Prescott,AZ
Frank Lloyd Wright School of Architecture,NULL,NULL,2,2,NULL,NULL,3,Scottsdale,AZ
Glendale Community College,NULL,NULL,16623,1,12043,NULL,1,Glendale,AZ
Grand Canyon University,NULL,0.548,34643,3,31613,0.3036,3,Phoenix,AZ
Anthem College-Phoenix,NULL,NULL,2238,3,32523,0.7996,2,Phoenix,AZ
International Academy of Hair Design,NULL,NULL,210,3,NULL,NULL,1,Mesa,AZ
Kaplan College-Phoenix,NULL,NULL,93,3,NULL,NULL,1,Phoenix,AZ
GateWay Community College,NULL,NULL,5653,1,12673,NULL,1,Phoenix,AZ
Mesa Community College,NULL,NULL,20120,1,12744,NULL,1,Mesa,AZ
ITT Technical Institute-Tucson,NULL,0.9703,409,3,26194,0.2182,2,Tucson,AZ
ITT Technical Institute-Tempe,NULL,0.9796,498,3,26194,0.25,2,Tempe,AZ
Mohave Community College,NULL,NULL,4759,1,15718,NULL,1,Kingman,AZ
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NULL,NULL,2049,3,NULL,NULL,1,Phoenix,AZ
Dine College,NULL,NULL,1402,1,11396,0.0205,2,Tsaile,AZ
Northern Arizona University,1050,0.9137,22011,1,22771,0.4924,3,Flagstaff,AZ
Northland Pioneer College,NULL,NULL,1641,1,13342,NULL,1,Holbrook,AZ
Ottawa University-Phoenix,NULL,NULL,335,2,NULL,NULL,3,Phoenix,AZ
Phoenix College,NULL,NULL,10234,1,12521,NULL,1,Phoenix,AZ
Cortiva Institute-Scottsdale,NULL,NULL,87,3,NULL,NULL,1,Scottsdale,AZ
University of Phoenix-Phoenix Campus,NULL,NULL,3044,3,24167,0.1568,3,Tempe,AZ
Pima Community College,NULL,NULL,26600,1,7367,NULL,1,Tucson,AZ
Pima Medical Institute-Tucson,NULL,NULL,1726,3,NULL,0.6189,1,Tucson,AZ
Pima Medical Institute-Albuquerque,NULL,NULL,930,3,NULL,NULL,1,Albuquerque,NM
